TIGHT n=18 m=140 tag=perturb g6=Q~~~~~~^|~x}z~|~~^~z~~n~nVw t=8.8s
TIGHT n=18 m=133 tag=perturb g6=Q~~~~~~]|zxMz~|~~]~~^~n~lVW t=3.0s
TIGHT n=18 m=133 tag=perturb g6=Q~n~~|v^|~f~z~t~~z~j|{e~~^w t=2.2s
TIGHT n=18 m=129 tag=perturb g6=Q|zx~~~^~nrnjn|^~^zp|~n}z^w t=7.8s
TIGHT n=18 m=130 tag=perturb g6=Q~~~~~~]lzxGz~|~~]~~^~v~lVW t=2.0s
TIGHT n=18 m=130 tag=perturb g6=Q~~~v|{V{~x}z~|~~^xr^~v}n^w t=4.0s
TIGHT n=18 m=124 tag=perturb g6=Q~n~|{v^|~nvz^T^nzng|ku~~^w t=1.9s
TIGHT n=18 m=121 tag=perturb g6=Q|zx~~~^~frfjnw^~VZp|~n}jVw t=2.3s
TIGHT n=18 m=123 tag=perturb g6=Q~l~~|vN|~f~z~t~nZ~aL|E}|vw t=4.7s
TIGHT n=18 m=126 tag=perturb g6=Q~~zv~{^{~x~z}|~zZ|rz^vylVw t=1.7s
TIGHT n=18 m=123 tag=perturb g6=Qi~zv~{^{~x~z}|~zZ|rz^vylVw t=1.8s
TIGHT n=18 m=117 tag=perturb g6=Qw~^~}k^s~x~jylnzZ|rz^vykvw t=0.7s
TIGHT n=18 m=113 tag=perturb g6=Q~a~|{v^|nhvg^T^ny~g|{u]~\w t=0.7s
TIGHT n=18 m=118 tag=perturb g6=Q|r`~~~^~frfjns^~VZp|~n}jVw t=0.8s
TIGHT n=18 m=130 tag=perturb g6=Q~~~~~~]lzxGz~|~~]~z]~v~nVw t=2.0s
TIGHT n=18 m=121 tag=perturb g6=Q~n~|{vV|~nvz^T^nzng|cq~~^w t=0.8s
TIGHT n=18 m=114 tag=perturb g6=Qvn~L{vN|~nUz^S\nzng|aq~~^w t=1.4s
TIGHT n=18 m=112 tag=perturb g6=Q~n~|sv^|~n~z^PNjpng|cu~jJO t=1.7s
TIGHT n=18 m=116 tag=perturb g6=Q|zW~~Z^}Nrnjlx^^Jzol~n}z^w t=1.0s
TIGHT n=18 m=126 tag=perturb g6=Q~jv~|v^|~f}z~s~~z~jnwe~~Zo t=5.4s
TIGHT n=18 m=111 tag=perturb g6=Qi~~v~{^{z|Uz}|LzZxzZ^PiLVg t=1.7s
TIGHT n=18 m=123 tag=perturb g6=Q~^~f~{v[~x}z~|~n^xu^~RunNo t=0.8s
TIGHT n=18 m=121 tag=perturb g6=Qizz~~}^s~x~z}{zzZ|rz^vytVw t=0.4s
TIGHT n=18 m=119 tag=perturb g6=Q{Zzf~~^zbfnjn\\~^xP|~n}z^w t=2.2s
TIGHT n=18 m=111 tag=perturb g6=Q~A~|{v^|nwVi]T^ny|w|{u^z\w t=0.9s
TIGHT n=18 m=122 tag=perturb g6=Q|zx~}~^~nrjjn|^^^xt|~n}xWw t=0.9s
TIGHT n=18 m=117 tag=perturb g6=Q~V~V~{v[~z}z}|^J^xq]~RunNo t=0.3s
TIGHT n=18 m=123 tag=perturb g6=Q~jr~|v^|~f}z~s~~z~jnwe||Zo t=1.8s
TIGHT n=18 m=126 tag=perturb g6=Q~n~~|v^t~F~r~ttzznj|{e~~^w t=1.7s
TIGHT n=18 m=119 tag=perturb g6=Q~n~|{v^|~jvz^TYnzmg\ku~~^w t=2.3s
TIGHT n=18 m=120 tag=perturb g6=Q|zw~~~n}avjBn|^~^zp|mn}z^w t=0.8s
TIGHT n=18 m=112 tag=perturb g6=Q~^~V}{v]~z{z}~TJ\Wq]~RqnMw t=0.8s
TIGHT n=18 m=108 tag=perturb g6=Qvnv{gvV|uNvzzS^nrfg|cq}zvw t=0.2s
TIGHT n=18 m=124 tag=perturb g6=Q~l~~|vN|~fzz~t~nZ~aL|N}|vw t=1.7s
TIGHT n=18 m=117 tag=perturb g6=Q~~jv~{R|~x}z}w}zxtzr^qy|VW t=0.7s
TIGHT n=18 m=109 tag=perturb g6=Q|zw~i~^~nojjFx~Z^xd|~fupWg t=1.5s
TIGHT n=18 m=112 tag=perturb g6=QnZYF~z^zbfnjnl\vZxP|jn}z^w t=0.6s
TIGHT n=18 m=119 tag=perturb g6=Qz~^v|g]{|x}y|\~^^|rZ~v{m^w t=1.5s
TIGHT n=18 m=116 tag=perturb g6=Q|zy~~Z^}Nvnjlx^VJzsk}m}z^w t=0.8s
TIGHT n=18 m=113 tag=perturb g6=Q~l~vSvNt~f~zzp^nZ|aH|E}|vw t=0.7s
TIGHT n=18 m=120 tag=perturb g6=Qz}~~~~]lziHx~|lNuv~^Nv~lVW t=2.2s
TIGHT n=18 m=108 tag=perturb g6=Q~V~V~Wt[nrYr}|]J^zRY~Tu~Mo t=0.2s
TIGHT n=18 m=119 tag=perturb g6=Q|ir~|v^|Vf}z~s~~z~jnwe||Zo t=2.3s
TIGHT n=18 m=116 tag=perturb g6=Q|Rx~~~^^frfb~w^~VZp|^Z}jVw t=0.3s
TIGHT n=18 m=112 tag=perturb g6=Q|yx~y}~~brmJntZp]xt|~n}hXw t=1.7s
TIGHT n=18 m=124 tag=perturb g6=Q{zzvz~^~ffnxn\\~^zF|~n}z^w t=2.3s
TIGHT n=18 m=108 tag=perturb g6=Q{~^zu{Zczj^jyH\zZ|qr^vy{uw t=0.2s
TIGHT n=18 m=124 tag=perturb g6=Q~~z~~{^{~x~z}|~zJ|rz^vyhVW t=4.7s
TIGHT n=18 m=109 tag=perturb g6=QfZYF~z^wbfnjnl\vZxP|jn}z^w t=0.3s
TIGHT n=18 m=109 tag=perturb g6=Q~a~\{v^|nhfgUT^ny~g|w}]~\w t=1.7s
TIGHT n=18 m=112 tag=perturb g6=Q~nz|kvf|~ntz^t]nzhg|uay|Ng t=0.7s
TIGHT n=18 m=107 tag=perturb g6=Qlzw~i~^vn_zbfx~Z^xd|~jupWg t=0.7s
TIGHT n=18 m=121 tag=perturb g6=Q~^~f~{vW~X}z~\~n^xu^~VunMw t=1.7s
TIGHT n=18 m=116 tag=perturb g6=Q^^~bykV[|x}z~|~n^|uN~Ru{^o t=1.7s
TIGHT n=18 m=113 tag=perturb g6=Q|zw~|~f}aunBn|^~^yp|mjwr^w t=0.7s
TIGHT n=18 m=119 tag=perturb g6=Q|zw~^~n}avzBn|~~^zR|mmmz^w t=1.9s
TIGHT n=18 m=111 tag=perturb g6=QtMVn~mFW~X}Z~\~fZxu^~Vunkw t=0.3s
TIGHT n=18 m=110 tag=perturb g6=Q~nn|{vR|~n~z^PNjpng|ke~jJO t=1.1s
TIGHT n=18 m=106 tag=perturb g6=Q~nlt{vR|~n~z^PNjpl_|ke~jJO t=1.0s
TIGHT n=18 m=117 tag=perturb g6=Q}n~|{vZ|]~vvRT^nzng|ku|~Zw t=1.8s
TIGHT n=18 m=116 tag=perturb g6=Q~n}~|RNxvf~y~t^NZ~aL|E}|vw t=1.7s
TIGHT n=18 m=103 tag=perturb g6=Q~frlkve|~ntz^t]jkhg|v_ypnG t=1.6s
TIGHT n=18 m=111 tag=perturb g6=Qxzk~^~nyefzFn|~l^ZR|mlC~Rw t=1.7s
TIGHT n=18 m=105 tag=perturb g6=Qvlp}_vV|uNvzzS^nrfg|cq}zvw t=0.5s
TIGHT n=18 m=121 tag=perturb g6=Q~^vn~{vW~X}z~^^n^xu^~VunMw t=2.3s
TIGHT n=18 m=117 tag=perturb g6=Qz}~~~~]lziHx~|lLur^^nvvlVW t=0.8s
TIGHT n=18 m=118 tag=perturb g6=Q~]|fz{v[tx}z~|~n^xu^~RunNo t=1.6s
TIGHT n=18 m=117 tag=perturb g6=Qzn~|}vV{~nuz^T]nznG}kqv~~g t=2.3s
TIGHT n=18 m=127 tag=perturb g6=Qv~~~~~]lzxGb~|~~]~z]~v~nVw t=2.3s
TIGHT n=18 m=111 tag=perturb g6=Q~zw~|~r}aumFl|^~^yPtmjwr^w t=0.5s
TIGHT n=18 m=112 tag=perturb g6=Q~~~|[vUl^nUj]T^mzNg|cq~~^w t=1.6s
TIGHT n=18 m=113 tag=perturb g6=Q~jq~|P^|vf}zss~~z~jbwe||Zo t=1.7s
TIGHT n=18 m=101 tag=perturb g6=Q~V~V}WtSnbYr}x^J^zRYJPu~Mo t=0.2s
TIGHT n=18 m=102 tag=perturb g6=Q~zwZP~r}aueFl\^~^yPtmigu^w t=0.6s
TIGHT n=18 m=105 tag=perturb g6=Qd^GVzw^wbfnjnl\vZxP|jn}n^w t=1.6s
TIGHT n=18 m=116 tag=perturb g6=Q~\n~|vN|mfzz~f~lZ~aL[Fu|vw t=1.7s
TIGHT n=18 m=114 tag=perturb g6=Q{jrz|vN|~f}z~S~~j~lkwa|\Zw t=0.8s
TIGHT n=18 m=114 tag=perturb g6=Q~^~m^|vX^X}z~\vn^xq\~FqjMg t=0.8s
TIGHT n=18 m=116 tag=perturb g6=Q|ir~|v^|Vf}z~un}z~hmwe||Zo t=1.6s
TIGHT n=18 m=117 tag=perturb g6=Q~^~f~tv]~x}jz|~n[xs^~RufN_ t=1.9s
TIGHT n=18 m=117 tag=perturb g6=Q}x~~|v\|~fzj~t~mZ~aGdN}|vw t=1.7s
TIGHT n=18 m=110 tag=perturb g6=QZ~^vd`}k|x}y|L~^^xrZ]vgm^w t=1.8s
TIGHT n=18 m=112 tag=perturb g6=Q|zW~~R^}Mrnjlx^NI~_l~n}z^w t=0.3s
TIGHT n=18 m=113 tag=perturb g6=Q\zw~\|n}avzBn|^v^rR|mmmz^w t=0.8s
TIGHT n=18 m=112 tag=perturb g6=Q~~zp\fVl^n[~]T^mzNg|cq~~^w t=1.0s
TIGHT n=18 m=116 tag=perturb g6=Q~]xfz}v[t|{x~|~n^|v~nRVFN_ t=0.8s
TIGHT n=18 m=120 tag=perturb g6=Q~~~~~~]|zpIzv|VvYn~^~NrlV? t=0.9s
TIGHT n=18 m=114 tag=perturb g6=Qu^~f~{f[^Xyz~|}nZpu^~RunNo t=0.5s
TIGHT n=18 m=118 tag=perturb g6=Q~n~|{v^|~fvz^D]nzngxkuZ~^w t=2.3s
TIGHT n=18 m=115 tag=perturb g6=Q~^~j~{vWvX}z~\\n^xu^^VumMo t=1.8s
TIGHT n=18 m=105 tag=perturb g6=Qnfrlkve|~~tz^t]nkhg|v`ypn_ t=0.3s
TIGHT n=18 m=116 tag=perturb g6=Qhzzdz~^~ffnxn\\vVzB|~n}r^g t=1.8s
TIGHT n=18 m=111 tag=perturb g6=Q~jyv|P^|vemzss~~z~jbwe||Zo t=1.0s
TIGHT n=18 m=111 tag=perturb g6=Q|zy~~R^}Nvnjlx^CNzsk}m{j^w t=0.2s
