g6=H?q`qjo n=9 degs=[3, 3, 3, 3, 3, 3, 3, 3, 4] chi=3 twinfree=True farkas=['1', '-1/2', '-1/2', '1', '-1/2', '-1/2', '-1/2', '-1/2', '1']
g6=K??FCo]XVw^_ n=12 degs=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6] chi=3 twinfree=False farkas=['1', '-1', '1', '-1', '1', '1', '-1', '-1', '-1', '-1', '1', '1']
g6=K?AFE_]JVoN_ n=12 degs=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5] chi=3 twinfree=True farkas=['1', '1', '-1', '-1', '1', '1', '-1', '-1', '-1', '-1', '1', '1']
g6=K?AFCo]XVoN_ n=12 degs=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5] chi=3 twinfree=False farkas=['1', '-1', '1', '-1', '1', '1', '-1', '-1', '-1', '-1', '1', '1']
g6=K?BDF?{UfoBw n=12 degs=[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5] chi=3 twinfree=False farkas=['0', '-1/2', '-1/2', '0', '1', '-1/2', '-1/2', '0', '-1/2', '-1/2', '1', '1']
g6=K?BD?{{Ufo^? n=12 degs=[4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5] chi=3 twinfree=False farkas=['1', '-1', '-1', '1', '1', '-1', '-1', '1', '-1', '-1', '1', '1']
g6=N????Bor?^EY~o~o^w? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8] chi=3 twinfree=False farkas=['1', '1', '-3/2', '1', '-3/2', '1', '1', '1', '-3/2', '-3/2', '-3/2', '-3/2', '1', '1', '1']
g6=N????Bob_^MI~o~o^w? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 8] chi=3 twinfree=False farkas=['1', '-3/2', '1', '1', '-3/2', '1', '1', '1', '-3/2', '-3/2', '-3/2', '-3/2', '1', '1', '1']
g6=N???E?xLULXQNo~_^o? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 7, 7] chi=3 twinfree=False farkas=['1', '1', '1', '1', '-3/2', '-3/2', '1', '1', '-3/2', '-3/2', '-3/2', '-3/2', '1', '1', '1']
g6=N???E?xHuLZANo~_^o? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 7, 7] chi=3 twinfree=False farkas=['1', '1', '1', '-3/2', '1', '-3/2', '1', '1', '-3/2', '-3/2', '-3/2', '-3/2', '1', '1', '1']
g6=N???FBO{?}DsB{~_^o? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 7, 7] chi=3 twinfree=False farkas=['0', '1', '-1', '-1', '0', '1', '1', '-1', '-1', '0', '-1', '-1', '1', '1', '1']
g6=N???FBOBw}Ds~_~_^o? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 7, 7, 7] chi=3 twinfree=False farkas=['1', '1', '-3/2', '-3/2', '1', '1', '1', '-3/2', '-3/2', '1', '-3/2', '-3/2', '1', '1', '1']
g6=N??CEBoy?^Ay~?NoNo? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6] chi=3 twinfree=True farkas=['1', '1', '1', '-3/2', '-3/2', '1', '1', '1', '-3/2', '-3/2', '-3/2', '-3/2', '1', '1', '1']
g6=N??CEBor?^EY~?NoNo? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6] chi=3 twinfree=False farkas=['1', '1', '-3/2', '1', '-3/2', '1', '1', '1', '-3/2', '-3/2', '-3/2', '-3/2', '1', '1', '1']
g6=N??CFBO{?}DsB{~?No? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6] chi=3 twinfree=False farkas=['0', '1', '-1', '-1', '0', '1', '1', '-1', '-1', '0', '-1', '-1', '1', '1', '1']
g6=N??EDBo{@{Jg~?B{@}? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6] chi=3 twinfree=False farkas=['1', '-3/2', '-3/2', '1', '1', '1', '-3/2', '-3/2', '1', '1', '-3/2', '-3/2', '1', '1', '1']
g6=N??EDBo{@{JgFoB{^_? n=15 degs=[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6] chi=3 twinfree=False farkas=['0', '-1', '-1', '1', '0', '1', '-1', '-1', '0', '1', '-1', '-1', '1', '1', '1']
