record_file	rotation	translation_id	layers	rA	rB	vertices	exact_edges
record_2569.pkl	w[15]	w_15_e985ff9c27d9	3	1.46	1.46	2569	14441
record_2539.pkl	w[15]	w_15_e201c77f6560	3	1.46	1.45	2539	14134
record_2491.pkl	w[15]	w_15_e201c77f6560	3	1.46	1.4242127397837872	2491	13821
record_2443.pkl	w[15]	w_15_e201c77f6560	3	1.46	1.4	2443	13389
record_2425.pkl	w[15]	w_15_e201c77f6560	3	1.46	1.3592366598258576	2425	13185
record_2389.pkl	w[15]	w_15_3e07397d03c4	3	1.46	1.3	2389	12909
record_2353.pkl	w[15]	w_15_e201c77f6560	3	1.46	1.2868957241724859	2353	12584
record_2329.pkl	w[15]	w_15_e201c77f6560	3	1.46	1.2758207855067207	2329	12464
record_2281.pkl	w[15]	w_15_e201c77f6560	3	1.46	1.2585457813357435	2281	12116
champion.pkl	w[15]	w_15_e201c77f6560	3	1.46	1.2420035798030784	2269	12044
