n=1: 1 wide partitions, all Latin-checked (0.0s, total 0.0s)
n=2: 1 wide partitions, all Latin-checked (0.0s, total 0.0s)
n=3: 2 wide partitions, all Latin-checked (0.0s, total 0.0s)
n=4: 3 wide partitions, all Latin-checked (0.0s, total 0.0s)
n=5: 3 wide partitions, all Latin-checked (0.0s, total 0.0s)
n=6: 5 wide partitions, all Latin-checked (0.0s, total 0.1s)
n=7: 6 wide partitions, all Latin-checked (0.0s, total 0.1s)
n=8: 9 wide partitions, all Latin-checked (0.0s, total 0.1s)
n=9: 11 wide partitions, all Latin-checked (0.0s, total 0.1s)
n=10: 14 wide partitions, all Latin-checked (0.0s, total 0.1s)
n=11: 18 wide partitions, all Latin-checked (0.1s, total 0.2s)
n=12: 23 wide partitions, all Latin-checked (0.1s, total 0.3s)
n=13: 29 wide partitions, all Latin-checked (0.1s, total 0.3s)
n=14: 35 wide partitions, all Latin-checked (0.1s, total 0.4s)
n=15: 45 wide partitions, all Latin-checked (0.1s, total 0.5s)
n=16: 56 wide partitions, all Latin-checked (0.1s, total 0.6s)
n=17: 68 wide partitions, all Latin-checked (0.2s, total 0.8s)
n=18: 85 wide partitions, all Latin-checked (0.2s, total 0.9s)
n=19: 103 wide partitions, all Latin-checked (0.1s, total 1.1s)
n=20: 125 wide partitions, all Latin-checked (0.2s, total 1.3s)
n=21: 150 wide partitions, all Latin-checked (0.3s, total 1.6s)
n=22: 183 wide partitions, all Latin-checked (0.4s, total 1.9s)
n=23: 217 wide partitions, all Latin-checked (0.4s, total 2.4s)
n=24: 266 wide partitions, all Latin-checked (0.6s, total 3.0s)
n=25: 315 wide partitions, all Latin-checked (0.7s, total 3.6s)
n=26: 380 wide partitions, all Latin-checked (0.8s, total 4.5s)
n=27: 449 wide partitions, all Latin-checked (1.0s, total 5.4s)
n=28: 534 wide partitions, all Latin-checked (1.2s, total 6.6s)
n=29: 628 wide partitions, all Latin-checked (1.5s, total 8.1s)
n=30: 745 wide partitions, all Latin-checked (1.7s, total 9.9s)
n=31: 874 wide partitions, all Latin-checked (2.2s, total 12.1s)
n=32: 1034 wide partitions, all Latin-checked (2.6s, total 14.7s)
n=33: 1212 wide partitions, all Latin-checked (3.4s, total 18.1s)
n=34: 1423 wide partitions, all Latin-checked (4.2s, total 22.2s)
n=35: 1665 wide partitions, all Latin-checked (5.0s, total 27.2s)
n=36: 1944 wide partitions, all Latin-checked (6.0s, total 33.2s)
n=37: 2265 wide partitions, all Latin-checked (7.7s, total 41.0s)
n=38: 2627 wide partitions, all Latin-checked (9.4s, total 50.4s)
n=39: 3055 wide partitions, all Latin-checked (11.4s, total 61.8s)
n=40: 3536 wide partitions, all Latin-checked (13.7s, total 75.5s)
n=41: 4099 wide partitions, all Latin-checked (16.9s, total 92.4s)
n=42: 4735 wide partitions, all Latin-checked (21.5s, total 113.9s)
n=43: 5479 wide partitions, all Latin-checked (25.6s, total 139.4s)
n=44: 6309 wide partitions, all Latin-checked (30.5s, total 170.0s)
n=45: 7273 wide partitions, all Latin-checked (36.3s, total 206.3s)
n=46: 8358 wide partitions, all Latin-checked (43.3s, total 249.6s)
n=47: 9599 wide partitions, all Latin-checked (51.9s, total 301.5s)
n=48: 11012 wide partitions, all Latin-checked (61.0s, total 362.5s)
n=49: 12605 wide partitions, all Latin-checked (77.9s, total 440.4s)
n=50: 14421 wide partitions, all Latin-checked (87.8s, total 528.2s)
n=51: 16480 wide partitions, all Latin-checked (128.4s, total 656.6s)
n=52: 18825 wide partitions, all Latin-checked (124.3s, total 780.9s)
n=53: 21456 wide partitions, all Latin-checked (149.3s, total 930.2s)
n=54: 24474 wide partitions, all Latin-checked (173.2s, total 1103.5s)
n=55: 27822 wide partitions, all Latin-checked (196.8s, total 1300.3s)
n=56: 31677 wide partitions, all Latin-checked (236.4s, total 1536.7s)
n=57: 35934 wide partitions, all Latin-checked (277.1s, total 1813.7s)
n=58: 40825 wide partitions, all Latin-checked (307.9s, total 2121.7s)
n=59: 46217 wide partitions, all Latin-checked (325.0s, total 2446.6s)
n=60: 52420 wide partitions, all Latin-checked (404.6s, total 2851.2s)
n=61: 59253 wide partitions, all Latin-checked (477.8s, total 3329.0s)
n=62: 67056 wide partitions, all Latin-checked (526.9s, total 3855.8s)
n=63: 75699 wide partitions, all Latin-checked (645.3s, total 4501.1s)
n=64: 85532 wide partitions, all Latin-checked (758.0s, total 5259.1s)
n=65: 96407 wide partitions, all Latin-checked (906.8s, total 6165.9s)
n=66: 108730 wide partitions, all Latin-checked (1058.1s, total 7224.0s)
n=67: 122389 wide partitions, all Latin-checked (1191.3s, total 8415.3s)
n=68: 137774 wide partitions, all Latin-checked (1416.3s, total 9831.6s)
n=69: 154884 wide partitions, all Latin-checked (1636.4s, total 11468.0s)
n=70: 174042 wide partitions, all Latin-checked (1863.9s, total 13331.9s)
n=71: 195376 wide partitions, all Latin-checked (2167.1s, total 15499.0s)
n=72: 219223 wide partitions, all Latin-checked (2503.1s, total 18002.0s)
